,state,county,happeningOppose,happening,TotalPop
0,Alabama,Autauga County,19.201,58.996,36233
1,Alabama,Baldwin County,20.735,59.902,133267
2,Alabama,Barbour County,10.061,67.735,18836
3,Alabama,Bibb County,18.032,58.42100000000001,15683
4,Alabama,Blount County,23.721,55.893,39052
5,Alabama,Bullock County,5.468,73.726,7283
6,Alabama,Butler County,11.738,64.727,14041
7,Alabama,Calhoun County,16.96,61.761,78667
8,Alabama,Chambers County,11.759,65.726,23825
9,Alabama,Cherokee County,22.013,56.144,18813
10,Alabama,Chilton County,21.264,56.781000000000006,29393
11,Alabama,Choctaw County,10.915,66.624,9578
12,Alabama,Clarke County,11.856,63.089,17220
13,Alabama,Clay County,18.111,59.644,9620
14,Alabama,Cleburne County,20.901999999999997,58.923,10308
15,Alabama,Coffee County,19.387,59.516000000000005,34363
16,Alabama,Colbert County,16.539,61.943999999999996,38009
17,Alabama,Conecuh County,11.815,64.64,8930
18,Alabama,Coosa County,13.66,62.343,8218
19,Alabama,Covington County,19.801,59.868,26478
20,Alabama,Crenshaw County,15.767000000000001,60.898999999999994,9527
21,Alabama,Cullman County,24.779,53.261,55380
22,Alabama,Dale County,17.677,62.005,33129
23,Alabama,Dallas County,5.68,74.27199999999999,27699
24,Alabama,DeKalb County,20.765,59.108000000000004,47081
25,Alabama,Elmore County,19.498,58.583999999999996,53964
26,Alabama,Escambia County,14.681,61.129,25894
27,Alabama,Etowah County,18.354,58.888000000000005,71636
28,Alabama,Fayette County,19.915,57.162,11939
29,Alabama,Franklin County,17.566,60.693999999999996,21175
30,Alabama,Geneva County,21.094,56.745,18733
31,Alabama,Greene County,4.8919999999999995,72.609,5888
32,Alabama,Hale County,8.529,67.678,10365
33,Alabama,Henry County,15.520999999999999,61.294,12307
34,Alabama,Houston County,17.555,60.475,69723
35,Alabama,Jackson County,21.13,55.32,37170
36,Alabama,Jefferson County,10.555,66.66199999999999,443123
37,Alabama,Lamar County,19.88,56.85,10112
38,Alabama,Lauderdale County,18.244,61.928000000000004,62760
