State Name,state,event_count
Alabama,AL,65
Alaska,AK,6
Arizona,AZ,21
Arkansas,AR,56
California,CA,32
Colorado,CO,39
Connecticut,CT,28
Delaware,DE,24
Florida,FL,47
Georgia,GA,67
Hawaii,HI,1
Idaho,ID,23
Illinois,IL,67
Indiana,IN,53
Iowa,IA,44
Kansas,KS,59
Kentucky,KY,56
Louisiana,LA,54
Maine,ME,13
Maryland,MD,46
Massachusetts,MA,24
Michigan,MI,30
Minnesota,MN,30
Mississippi,MS,63
Missouri,MO,61
Montana,MT,24
Nebraska,NE,34
Nevada,NV,16
New Hampshire,NH,15
New Jersey,NJ,39
New Mexico,NM,22
New York,NY,52
North Carolina,NC,66
North Dakota,ND,15
Ohio,OH,53
Oklahoma,OK,67
Oregon,OR,26
Pennsylvania,PA,56
Puerto Rico,PR,4
Rhode Island,RI,21
South Carolina,SC,57
South Dakota,SD,23
Tennessee,TN,63
Texas,TX,90
Utah,UT,15
Vermont,VA,59
Vermont,VT,14
Virgin Islands,VI,3
Washington,WA,22
West Virginia,WV,32
Wisconsin,WI,26
Wyoming,WY,17
